;Phelsuma_ornata;Phalantha_phalantha;Stratiomydae_sp;Xylocopa_fenestrata;Megachile_sp;Protaetia_aurichalcea;Leptotes_pirithous;Borbo_borbonica;Apis_mellifera;Musca_domestica;Syrphid_sp;Lucilia_sp;Ornidia_obesa
Gastonia_mauritiana;30;0;16;0;0;15;2;0;149;16;0;16;16
Dracaena_concinna;33;0;0;0;0;0;0;0;11;0;17;0;0
Scaevola_sericea;19;0;0;15;15;0;0;0;92;0;0;0;0
Ipomoea_macrantha;0;0;0;0;0;0;0;0;126;0;0;0;0
Pemphis_acidula;21;117;11;16;0;0;1;0;103;0;0;0;0
Hibiscus_tiliaceus;28;0;0;0;0;0;0;0;138;0;0;0;0
Suriana_maritima;0;0;0;0;13;0;1;0;23;0;0;0;0
Argusia_argentea;12;0;0;0;0;0;0;0;57;6;6;0;0
Thespesia_populnea;14;0;7;0;0;0;0;2;69;0;0;0;0
Morinda_citrifolia;23;0;0;0;0;0;2;0;115;0;0;0;0
Leucaena_leucocephala;9;0;5;0;0;0;0;0;46;0;0;0;0
Passiflora_suberosa;7;0;0;0;0;0;0;0;34;0;0;0;0
Stachytapheta_jamaicencis;0;26;2;0;0;0;1;1;0;0;2;0;0
Turnera_angustifolia;0;0;1;2;2;0;0;1;0;0;0;0;0
